,PRED,SIGMA
582,332.2879,94.373146
583,332.35675,94.43595
584,332.42273,94.50023
585,332.4857,94.56607
586,332.54596,94.63336
587,332.60333,94.70205
588,332.65802,94.7722
589,332.70996,94.84374
590,332.75922,94.9166
591,332.80798,94.98837
592,332.8624,95.052704
593,332.9143,95.11812
594,332.9639,95.1845
595,333.01114,95.25182
596,333.05618,95.320114
597,333.0991,95.38918
598,333.1398,95.459045
599,333.17853,95.5296
600,333.21533,95.60066
601,333.25098,95.673325
602,333.28598,95.74846
603,333.31934,95.823975
604,333.35123,95.899666
605,333.38434,95.974396
606,333.416,96.049225
607,333.44623,96.12405
608,333.47522,96.19886
609,333.50302,96.27345
610,333.52963,96.34781
611,333.55527,96.4219
612,333.57983,96.495575
613,333.60355,96.56873
614,333.62653,96.64123
615,333.6489,96.71293
616,333.67065,96.78378
617,333.6918,96.85393
618,333.71243,96.92313
619,333.735,96.99112
620,333.76065,97.05773
621,333.78604,97.12329
622,333.81097,97.187386
623,333.8357,97.25022
624,333.86038,97.31186
625,333.88495,97.372215
626,333.9095,97.431206
627,333.93408,97.48891
628,333.9588,97.545265
629,333.99677,97.589165
630,334.0543,97.61273
631,334.12076,97.63665
632,334.18713,97.66025
633,334.2536,97.683784
634,334.31964,97.70651
635,334.3853,97.72829
636,334.4507,97.74924
637,334.51575,97.76928
638,334.58044,97.788445
639,334.6449,97.80669
640,334.70688,97.82426
641,334.76868,97.84099
642,334.83017,97.856766
643,334.8915,97.87172
644,334.9721,97.916855
645,335.05692,97.968315
646,335.14136,98.018745
647,335.22546,98.06815
648,335.3093,98.116615
649,335.39276,98.1641
650,335.47595,98.21064
651,335.56375,98.26419
652,335.65848,98.328415
653,335.756,98.39676
654,335.8532,98.46423
655,335.95007,98.53091
656,336.04663,98.59674
657,336.14288,98.6617
658,336.23883,98.72604
659,336.33572,98.78971
660,336.43222,98.852554
661,336.5284,98.91466
662,336.62402,98.976295
663,336.7178,99.03863
664,336.8113,99.100266
665,336.90445,99.16117
666,336.99725,99.22128
667,337.08957,99.2807
668,337.18146,99.33943
669,337.27298,99.39746
670,337.36414,99.45492
671,337.45474,99.51161
672,337.54504,99.56783
673,337.63474,99.62328
674,337.72406,99.67827
675,337.81296,99.73261
676,337.9013,99.786385
677,337.98914,99.839615
678,338.07648,99.89232
679,338.16333,99.94448
680,338.2497,99.99614
681,338.3351,100.047905
682,338.4201,100.09938
683,338.50354,100.15143
684,338.5864,100.20307
685,338.6751,100.264465
686,338.76556,100.328995
687,338.8554,100.39293
688,338.94464,100.45637
689,339.0333,100.519325
690,339.1214,100.581825
691,339.20886,100.64385
692,339.29575,100.70535
693,339.38196,100.76645
694,339.4676,100.82711
695,339.55252,100.88734
696,339.63684,100.947105
697,339.72058,101.00655
698,339.80356,101.065475
699,339.88593,101.124054
700,339.96762,101.18225
701,340.04858,101.24001
702,340.12897,101.297485
703,340.2086,101.35444
704,340.28754,101.41122
705,340.3659,101.46757
706,340.44342,101.52349
707,340.52036,101.57923
708,340.59622,101.63499
709,340.6712,101.69054
710,340.74548,101.745674
711,340.81915,101.8005
712,340.89236,101.85474
713,340.96484,101.90864
714,341.03662,101.96236
715,341.10764,102.015594
716,341.17795,102.06859
717,341.24762,102.12137
718,341.31647,102.173775
719,341.3847,102.22588
720,341.45218,102.27778
721,341.51892,102.32929
722,341.58493,102.380516
723,341.64893,102.42936
724,341.71213,102.47783
725,341.77618,102.524284
726,341.84155,102.568214
727,341.90625,102.61184
728,341.9702,102.65517
